id_module,module,id_group,group,id_class,class,level,,,,,,,,,,,,,,
48,Introduccion NT,10,Cartas Generales 1,472,II Pedro,1,,,,,,,,,,,,,,
48,Introduccion NT,14,Cartas Generales 2,473,I Juan,1,,,,,,,,,,,,,,
48,Introduccion NT,14,Cartas Generales 2,474,II Juan,1,,,,,,,,,,,,,,
48,Introduccion NT,14,Cartas Generales 2,475,III Juan,1,,,,,,,,,,,,,,
48,Introduccion NT,14,Cartas Generales 2,476,Judas,1,,,,,,,,,,,,,,
74,Liderazgo I,16,Liderazgo I,477,Conquistando Corazones,1,,,,,,,,,,,,,,
75,Crecimiento Espiritual,17,Crecimiento Espiritual,478,Desarrollo del Carácter Cristiano,1,,,,,,,,,,,,,,
75,Crecimiento Espiritual,17,Crecimiento Espiritual,479,Nacidos a la Familia de Dios,1,,,,,,,,,,,,,,
77,Fruto del Espíritu,18,Fruto del Espíritu,480,Fruto del Espíritu,1,,,,,,,,,,,,,,
78,Clases asociadas,19,Clases asociadas,481,El Islam,1,,,,,,,,,,,,,,
78,Clases asociadas,19,Clases asociadas,482,Homosexualismo,1,,,,,,,,,,,,,,
78,Clases asociadas,19,Clases asociadas,483,Carnaval,1,,,,,,,,,,,,,,
78,Clases asociadas,19,Clases asociadas,484,San Valentín y Cupido,1,,,,,,,,,,,,,,
78,Clases asociadas,19,Clases asociadas,485,Bautizo de Bebes,1,,,,,,,,,,,,,,
78,Clases asociadas,19,Clases asociadas,486,Vision & Mision de la Iglesia,1,,,,,,,,,,,,,,
78,Clases asociadas,19,Clases asociadas,487,La Familia Cristiana,1,,,,,,,,,,,,,,
85,Adoracion,20,Adoracíon,488,Adoracion & Alabanza,1,,,,,,,,,,,,,,
119,Pre-Tesis,21,Pre-Tesis,489,Pre-Tesis,1,,,,,,,,,,,,,,
87,El Espíritu Santo y su obra,26,El Espíritu Santo y su obra,490,El Espiritu Santo y su obra,2,,,,,,,,,,,,,,
88,Liderazgo Cristiano II (Carácter Pastoral),27,Liderazgo Cristiano II (Carácter Pastoral),492,Ministerio Apostolico,2,,,,,,,,,,,,,,
88,Liderazgo Cristiano II (Carácter Pastoral),27,Liderazgo Cristiano II (Carácter Pastoral),491,Caracter Pastoral,2,,,,,,,,,,,,,,
